,0
0,NCIMB_gene_0
1,NCIMB_gene_1
2,NCIMB_gene_2
3,NCIMB_gene_4
4,NCIMB_gene_6
5,NCIMB_gene_13
6,NCIMB_gene_14
7,NCIMB_gene_17
8,NCIMB_gene_20
9,NCIMB_gene_23
10,NCIMB_gene_28
11,NCIMB_gene_33
12,NCIMB_gene_34
13,NCIMB_gene_35
14,NCIMB_gene_37
15,NCIMB_gene_40
16,NCIMB_gene_44
17,NCIMB_gene_45
18,NCIMB_gene_46
19,NCIMB_gene_47
20,NCIMB_gene_50
21,NCIMB_gene_56
22,NCIMB_gene_57
23,NCIMB_gene_59
24,NCIMB_gene_65
25,NCIMB_gene_69
26,NCIMB_gene_70
27,NCIMB_gene_76
28,NCIMB_gene_79
29,NCIMB_gene_82
30,NCIMB_gene_83
31,NCIMB_gene_84
32,NCIMB_gene_86
33,NCIMB_gene_91
34,NCIMB_gene_92
35,NCIMB_gene_98
36,NCIMB_gene_100
37,NCIMB_gene_105
38,NCIMB_gene_106
39,NCIMB_gene_109
40,NCIMB_gene_110
41,NCIMB_gene_111
42,NCIMB_gene_112
43,NCIMB_gene_114
44,NCIMB_gene_115
45,NCIMB_gene_123
46,NCIMB_gene_125
47,NCIMB_gene_127
48,NCIMB_gene_128
49,NCIMB_gene_133
50,NCIMB_gene_148
51,NCIMB_gene_149
52,NCIMB_gene_151
53,NCIMB_gene_152
54,NCIMB_gene_153
55,NCIMB_gene_154
56,NCIMB_gene_155
57,NCIMB_gene_159
58,NCIMB_gene_164
59,NCIMB_gene_165
60,NCIMB_gene_167
61,NCIMB_gene_168
62,NCIMB_gene_169
63,NCIMB_gene_170
64,NCIMB_gene_171
65,NCIMB_gene_172
66,NCIMB_gene_173
67,NCIMB_gene_175
68,NCIMB_gene_176
69,NCIMB_gene_178
70,NCIMB_gene_179
71,NCIMB_gene_189
72,NCIMB_gene_191
73,NCIMB_gene_192
74,NCIMB_gene_193
75,NCIMB_gene_194
76,NCIMB_gene_210
77,NCIMB_gene_211
78,NCIMB_gene_212
79,NCIMB_gene_213
80,NCIMB_gene_215
81,NCIMB_gene_216
82,NCIMB_gene_218
83,NCIMB_gene_221
84,NCIMB_gene_222
85,NCIMB_gene_238
86,NCIMB_gene_239
87,NCIMB_gene_242
88,NCIMB_gene_245
89,NCIMB_gene_247
90,NCIMB_gene_249
91,NCIMB_gene_250
92,NCIMB_gene_251
93,NCIMB_gene_254
94,NCIMB_gene_260
95,NCIMB_gene_263
96,NCIMB_gene_265
97,NCIMB_gene_270
98,NCIMB_gene_271
99,NCIMB_gene_276
100,NCIMB_gene_284
101,NCIMB_gene_285
102,NCIMB_gene_286
103,NCIMB_gene_287
104,NCIMB_gene_289
105,NCIMB_gene_292
106,NCIMB_gene_293
107,NCIMB_gene_306
108,NCIMB_gene_308
109,NCIMB_gene_313
110,NCIMB_gene_314
111,NCIMB_gene_316
112,NCIMB_gene_317
113,NCIMB_gene_324
114,NCIMB_gene_328
115,NCIMB_gene_333
116,NCIMB_gene_334
117,NCIMB_gene_337
118,NCIMB_gene_338
119,NCIMB_gene_341
120,NCIMB_gene_342
121,NCIMB_gene_343
122,NCIMB_gene_347
123,NCIMB_gene_352
124,NCIMB_gene_355
125,NCIMB_gene_356
126,NCIMB_gene_357
127,NCIMB_gene_358
128,NCIMB_gene_359
129,NCIMB_gene_360
130,NCIMB_gene_364
131,NCIMB_gene_365
132,NCIMB_gene_366
133,NCIMB_gene_370
134,NCIMB_gene_371
135,NCIMB_gene_374
136,NCIMB_gene_375
137,NCIMB_gene_382
138,NCIMB_gene_386
139,NCIMB_gene_388
140,NCIMB_gene_390
141,NCIMB_gene_391
142,NCIMB_gene_392
143,NCIMB_gene_397
144,NCIMB_gene_399
145,NCIMB_gene_405
146,NCIMB_gene_408
147,NCIMB_gene_409
148,NCIMB_gene_410
149,NCIMB_gene_411
150,NCIMB_gene_413
151,NCIMB_gene_416
152,NCIMB_gene_420
153,NCIMB_gene_421
154,NCIMB_gene_423
155,NCIMB_gene_426
156,NCIMB_gene_427
157,NCIMB_gene_431
158,NCIMB_gene_435
159,NCIMB_gene_437
160,NCIMB_gene_438
161,NCIMB_gene_440
162,NCIMB_gene_445
163,NCIMB_gene_446
164,NCIMB_gene_474
165,NCIMB_gene_475
166,NCIMB_gene_476
167,NCIMB_gene_486
168,NCIMB_gene_487
169,NCIMB_gene_488
170,NCIMB_gene_489
171,NCIMB_gene_490
172,NCIMB_gene_491
173,NCIMB_gene_492
174,NCIMB_gene_493
175,NCIMB_gene_494
176,NCIMB_gene_496
177,NCIMB_gene_499
178,NCIMB_gene_500
179,NCIMB_gene_502
180,NCIMB_gene_503
181,NCIMB_gene_504
182,NCIMB_gene_505
183,NCIMB_gene_506
184,NCIMB_gene_507
185,NCIMB_gene_508
186,NCIMB_gene_510
187,NCIMB_gene_511
188,NCIMB_gene_512
189,NCIMB_gene_513
190,NCIMB_gene_514
191,NCIMB_gene_516
192,NCIMB_gene_522
193,NCIMB_gene_525
194,NCIMB_gene_527
195,NCIMB_gene_529
196,NCIMB_gene_532
197,NCIMB_gene_534
198,NCIMB_gene_536
199,NCIMB_gene_537
200,NCIMB_gene_538
201,NCIMB_gene_540
202,NCIMB_gene_541
203,NCIMB_gene_543
204,NCIMB_gene_544
205,NCIMB_gene_547
206,NCIMB_gene_548
207,NCIMB_gene_549
208,NCIMB_gene_555
209,NCIMB_gene_556
210,NCIMB_gene_558
211,NCIMB_gene_559
212,NCIMB_gene_560
213,NCIMB_gene_561
214,NCIMB_gene_562
215,NCIMB_gene_563
216,NCIMB_gene_564
217,NCIMB_gene_566
218,NCIMB_gene_567
219,NCIMB_gene_568
220,NCIMB_gene_571
221,NCIMB_gene_573
222,NCIMB_gene_576
223,NCIMB_gene_578
224,NCIMB_gene_580
225,NCIMB_gene_586
226,NCIMB_gene_592
227,NCIMB_gene_594
228,NCIMB_gene_595
229,NCIMB_gene_597
230,NCIMB_gene_600
231,NCIMB_gene_601
232,NCIMB_gene_603
233,NCIMB_gene_608
234,NCIMB_gene_609
235,NCIMB_gene_612
236,NCIMB_gene_613
237,NCIMB_gene_618
238,NCIMB_gene_621
239,NCIMB_gene_622
240,NCIMB_gene_624
241,NCIMB_gene_625
242,NCIMB_gene_626
243,NCIMB_gene_627
244,NCIMB_gene_628
245,NCIMB_gene_632
246,NCIMB_gene_633
247,NCIMB_gene_634
248,NCIMB_gene_636
249,NCIMB_gene_637
250,NCIMB_gene_640
251,NCIMB_gene_641
252,NCIMB_gene_645
253,NCIMB_gene_646
254,NCIMB_gene_649
255,NCIMB_gene_654
256,NCIMB_gene_655
257,NCIMB_gene_656
258,NCIMB_gene_662
259,NCIMB_gene_666
260,NCIMB_gene_667
261,NCIMB_gene_669
262,NCIMB_gene_673
263,NCIMB_gene_674
264,NCIMB_gene_675
265,NCIMB_gene_676
266,NCIMB_gene_680
267,NCIMB_gene_682
268,NCIMB_gene_683
269,NCIMB_gene_684
270,NCIMB_gene_685
271,NCIMB_gene_686
272,NCIMB_gene_687
273,NCIMB_gene_689
274,NCIMB_gene_690
275,NCIMB_gene_691
276,NCIMB_gene_694
277,NCIMB_gene_696
278,NCIMB_gene_698
279,NCIMB_gene_700
280,NCIMB_gene_702
281,NCIMB_gene_704
282,NCIMB_gene_705
283,NCIMB_gene_712
284,NCIMB_gene_714
285,NCIMB_gene_718
286,NCIMB_gene_719
287,NCIMB_gene_720
288,NCIMB_gene_721
289,NCIMB_gene_722
290,NCIMB_gene_723
291,NCIMB_gene_724
292,NCIMB_gene_725
293,NCIMB_gene_726
294,NCIMB_gene_727
295,NCIMB_gene_728
296,NCIMB_gene_731
297,NCIMB_gene_735
298,NCIMB_gene_743
299,NCIMB_gene_746
300,NCIMB_gene_747
301,NCIMB_gene_749
302,NCIMB_gene_752
303,NCIMB_gene_754
304,NCIMB_gene_755
305,NCIMB_gene_756
306,NCIMB_gene_759
307,NCIMB_gene_765
308,NCIMB_gene_771
309,NCIMB_gene_773
310,NCIMB_gene_775
311,NCIMB_gene_779
312,NCIMB_gene_781
313,NCIMB_gene_782
314,NCIMB_gene_786
315,NCIMB_gene_787
316,NCIMB_gene_791
317,NCIMB_gene_793
318,NCIMB_gene_794
319,NCIMB_gene_796
320,NCIMB_gene_801
321,NCIMB_gene_812
322,NCIMB_gene_816
323,NCIMB_gene_818
324,NCIMB_gene_820
325,NCIMB_gene_823
326,NCIMB_gene_824
327,NCIMB_gene_826
328,NCIMB_gene_827
329,NCIMB_gene_828
330,NCIMB_gene_829
331,NCIMB_gene_830
332,NCIMB_gene_831
333,NCIMB_gene_832
334,NCIMB_gene_834
335,NCIMB_gene_836
336,NCIMB_gene_841
337,NCIMB_gene_842
338,NCIMB_gene_844
339,NCIMB_gene_849
340,NCIMB_gene_850
341,NCIMB_gene_864
342,NCIMB_gene_866
343,NCIMB_gene_867
344,NCIMB_gene_869
345,NCIMB_gene_873
346,NCIMB_gene_875
347,NCIMB_gene_877
348,NCIMB_gene_878
349,NCIMB_gene_879
350,NCIMB_gene_880
351,NCIMB_gene_881
352,NCIMB_gene_882
353,NCIMB_gene_883
354,NCIMB_gene_884
355,NCIMB_gene_885
356,NCIMB_gene_886
357,NCIMB_gene_888
358,NCIMB_gene_891
359,NCIMB_gene_894
360,NCIMB_gene_895
361,NCIMB_gene_896
362,NCIMB_gene_898
363,NCIMB_gene_900
364,NCIMB_gene_907
365,NCIMB_gene_908
366,NCIMB_gene_909
367,NCIMB_gene_914
368,NCIMB_gene_917
369,NCIMB_gene_923
370,NCIMB_gene_924
371,NCIMB_gene_925
372,NCIMB_gene_926
373,NCIMB_gene_928
374,NCIMB_gene_929
375,NCIMB_gene_930
376,NCIMB_gene_931
377,NCIMB_gene_937
378,NCIMB_gene_942
379,NCIMB_gene_943
380,NCIMB_gene_944
381,NCIMB_gene_945
382,NCIMB_gene_947
383,NCIMB_gene_950
384,NCIMB_gene_951
385,NCIMB_gene_957
386,NCIMB_gene_958
387,NCIMB_gene_959
388,NCIMB_gene_960
389,NCIMB_gene_961
390,NCIMB_gene_962
391,NCIMB_gene_969
392,NCIMB_gene_971
393,NCIMB_gene_972
394,NCIMB_gene_974
395,NCIMB_gene_980
396,NCIMB_gene_988
397,NCIMB_gene_991
398,NCIMB_gene_994
399,NCIMB_gene_996
400,NCIMB_gene_999
401,NCIMB_gene_1000
402,NCIMB_gene_1001
403,NCIMB_gene_1002
404,NCIMB_gene_1004
405,NCIMB_gene_1005
406,NCIMB_gene_1012
407,NCIMB_gene_1015
408,NCIMB_gene_1017
409,NCIMB_gene_1018
410,NCIMB_gene_1019
411,NCIMB_gene_1020
412,NCIMB_gene_1021
413,NCIMB_gene_1022
414,NCIMB_gene_1023
415,NCIMB_gene_1024
416,NCIMB_gene_1028
417,NCIMB_gene_1034
418,NCIMB_gene_1037
419,NCIMB_gene_1041
420,NCIMB_gene_1046
421,NCIMB_gene_1049
422,NCIMB_gene_1050
423,NCIMB_gene_1051
424,NCIMB_gene_1053
425,NCIMB_gene_1054
426,NCIMB_gene_1055
427,NCIMB_gene_1056
428,NCIMB_gene_1058
429,NCIMB_gene_1066
430,NCIMB_gene_1067
431,NCIMB_gene_1068
432,NCIMB_gene_1069
433,NCIMB_gene_1070
434,NCIMB_gene_1075
435,NCIMB_gene_1093
436,NCIMB_gene_1095
437,NCIMB_gene_1098
438,NCIMB_gene_1099
439,NCIMB_gene_1106
440,NCIMB_gene_1118
441,NCIMB_gene_1122
442,NCIMB_gene_1124
443,NCIMB_gene_1128
444,NCIMB_gene_1131
445,NCIMB_gene_1132
446,NCIMB_gene_1136
447,NCIMB_gene_1139
448,NCIMB_gene_1143
449,NCIMB_gene_1144
450,NCIMB_gene_1146
451,NCIMB_gene_1159
452,NCIMB_gene_1162
453,NCIMB_gene_1178
454,NCIMB_gene_1181
455,NCIMB_gene_1182
456,NCIMB_gene_1186
457,NCIMB_gene_1190
458,NCIMB_gene_1192
459,NCIMB_gene_1198
460,NCIMB_gene_1203
461,NCIMB_gene_1205
462,NCIMB_gene_1206
463,NCIMB_gene_1208
464,NCIMB_gene_1212
465,NCIMB_gene_1216
466,NCIMB_gene_1217
467,NCIMB_gene_1221
468,NCIMB_gene_1227
469,NCIMB_gene_1228
470,NCIMB_gene_1231
471,NCIMB_gene_1232
472,NCIMB_gene_1233
473,NCIMB_gene_1234
474,NCIMB_gene_1236
475,NCIMB_gene_1237
476,NCIMB_gene_1239
477,NCIMB_gene_1241
478,NCIMB_gene_1242
479,NCIMB_gene_1244
480,NCIMB_gene_1245
481,NCIMB_gene_1249
482,NCIMB_gene_1252
483,NCIMB_gene_1262
484,NCIMB_gene_1267
485,NCIMB_gene_1269
486,NCIMB_gene_1274
487,NCIMB_gene_1278
488,NCIMB_gene_1280
489,NCIMB_gene_1281
490,NCIMB_gene_1282
491,NCIMB_gene_1286
492,NCIMB_gene_1287
493,NCIMB_gene_1291
494,NCIMB_gene_1295
495,NCIMB_gene_1299
496,NCIMB_gene_1300
497,NCIMB_gene_1301
498,NCIMB_gene_1312
499,NCIMB_gene_1314
500,NCIMB_gene_1315
501,NCIMB_gene_1316
502,NCIMB_gene_1320
503,NCIMB_gene_1323
504,NCIMB_gene_1329
505,NCIMB_gene_1330
