,0
0,NCIMB_gene_0
1,NCIMB_gene_1
2,NCIMB_gene_2
3,NCIMB_gene_3
4,NCIMB_gene_4
5,NCIMB_gene_5
6,NCIMB_gene_6
7,NCIMB_gene_7
8,NCIMB_gene_8
9,NCIMB_gene_9
10,NCIMB_gene_10
11,NCIMB_gene_11
12,NCIMB_gene_12
13,NCIMB_gene_13
14,NCIMB_gene_14
15,NCIMB_gene_15
16,NCIMB_gene_16
17,NCIMB_gene_17
18,NCIMB_gene_18
19,NCIMB_gene_19
20,NCIMB_gene_20
21,NCIMB_gene_21
22,NCIMB_gene_22
23,NCIMB_gene_23
24,NCIMB_gene_24
25,NCIMB_gene_25
26,NCIMB_gene_26
27,NCIMB_gene_27
28,NCIMB_gene_28
29,NCIMB_gene_29
30,NCIMB_gene_30
31,NCIMB_gene_31
32,NCIMB_gene_32
33,NCIMB_gene_33
34,NCIMB_gene_34
35,NCIMB_gene_35
36,NCIMB_gene_36
37,NCIMB_gene_37
38,NCIMB_gene_38
39,NCIMB_gene_39
40,NCIMB_gene_40
41,NCIMB_gene_41
42,NCIMB_gene_42
43,NCIMB_gene_43
44,NCIMB_gene_44
45,NCIMB_gene_45
46,NCIMB_gene_46
47,NCIMB_gene_47
48,NCIMB_gene_48
49,NCIMB_gene_49
50,NCIMB_gene_50
51,NCIMB_gene_51
52,NCIMB_gene_52
53,NCIMB_gene_53
54,NCIMB_gene_54
55,NCIMB_gene_55
56,NCIMB_gene_56
57,NCIMB_gene_57
58,NCIMB_gene_58
59,NCIMB_gene_59
60,NCIMB_gene_60
61,NCIMB_gene_61
62,NCIMB_gene_62
63,NCIMB_gene_63
64,NCIMB_gene_64
65,NCIMB_gene_65
66,NCIMB_gene_66
67,NCIMB_gene_67
68,NCIMB_gene_68
69,NCIMB_gene_69
70,NCIMB_gene_70
71,NCIMB_gene_71
72,NCIMB_gene_72
73,NCIMB_gene_73
74,NCIMB_gene_74
75,NCIMB_gene_75
76,NCIMB_gene_76
77,NCIMB_gene_77
78,NCIMB_gene_78
79,NCIMB_gene_79
80,NCIMB_gene_80
81,NCIMB_gene_81
82,NCIMB_gene_82
83,NCIMB_gene_83
84,NCIMB_gene_84
85,NCIMB_gene_85
86,NCIMB_gene_86
87,NCIMB_gene_87
88,NCIMB_gene_88
89,NCIMB_gene_89
90,NCIMB_gene_90
91,NCIMB_gene_91
92,NCIMB_gene_92
93,NCIMB_gene_93
94,NCIMB_gene_94
95,NCIMB_gene_95
96,NCIMB_gene_96
97,NCIMB_gene_97
98,NCIMB_gene_98
99,NCIMB_gene_99
100,NCIMB_gene_100
101,NCIMB_gene_101
102,NCIMB_gene_102
103,NCIMB_gene_103
104,NCIMB_gene_104
105,NCIMB_gene_105
106,NCIMB_gene_106
107,NCIMB_gene_107
108,NCIMB_gene_108
109,NCIMB_gene_109
110,NCIMB_gene_110
111,NCIMB_gene_111
112,NCIMB_gene_112
113,NCIMB_gene_113
114,NCIMB_gene_114
115,NCIMB_gene_115
116,NCIMB_gene_116
117,NCIMB_gene_117
118,NCIMB_gene_118
119,NCIMB_gene_119
120,NCIMB_gene_120
121,NCIMB_gene_121
122,NCIMB_gene_122
123,NCIMB_gene_123
124,NCIMB_gene_124
125,NCIMB_gene_125
126,NCIMB_gene_126
127,NCIMB_gene_127
128,NCIMB_gene_128
129,NCIMB_gene_129
130,NCIMB_gene_130
131,NCIMB_gene_131
132,NCIMB_gene_132
133,NCIMB_gene_133
134,NCIMB_gene_134
135,NCIMB_gene_135
136,NCIMB_gene_136
137,NCIMB_gene_137
138,NCIMB_gene_138
139,NCIMB_gene_139
140,NCIMB_gene_140
141,NCIMB_gene_141
142,NCIMB_gene_142
143,NCIMB_gene_143
144,NCIMB_gene_144
145,NCIMB_gene_145
146,NCIMB_gene_146
147,NCIMB_gene_147
148,NCIMB_gene_148
149,NCIMB_gene_149
150,NCIMB_gene_150
151,NCIMB_gene_151
152,NCIMB_gene_152
153,NCIMB_gene_153
154,NCIMB_gene_154
155,NCIMB_gene_155
156,NCIMB_gene_156
157,NCIMB_gene_157
158,NCIMB_gene_158
159,NCIMB_gene_159
160,NCIMB_gene_160
161,NCIMB_gene_161
162,NCIMB_gene_162
163,NCIMB_gene_163
164,NCIMB_gene_164
165,NCIMB_gene_165
166,NCIMB_gene_166
167,NCIMB_gene_167
168,NCIMB_gene_168
169,NCIMB_gene_169
170,NCIMB_gene_170
171,NCIMB_gene_171
172,NCIMB_gene_172
173,NCIMB_gene_173
174,NCIMB_gene_174
175,NCIMB_gene_175
176,NCIMB_gene_176
177,NCIMB_gene_177
178,NCIMB_gene_178
179,NCIMB_gene_179
180,NCIMB_gene_180
181,NCIMB_gene_181
182,NCIMB_gene_182
183,NCIMB_gene_183
184,NCIMB_gene_184
185,NCIMB_gene_185
186,NCIMB_gene_186
187,NCIMB_gene_187
188,NCIMB_gene_188
189,NCIMB_gene_189
190,NCIMB_gene_190
191,NCIMB_gene_191
192,NCIMB_gene_192
193,NCIMB_gene_193
194,NCIMB_gene_194
195,NCIMB_gene_195
196,NCIMB_gene_196
197,NCIMB_gene_197
198,NCIMB_gene_198
199,NCIMB_gene_199
200,NCIMB_gene_200
201,NCIMB_gene_201
202,NCIMB_gene_202
203,NCIMB_gene_203
204,NCIMB_gene_204
205,NCIMB_gene_205
206,NCIMB_gene_206
207,NCIMB_gene_207
208,NCIMB_gene_208
209,NCIMB_gene_209
210,NCIMB_gene_210
211,NCIMB_gene_211
212,NCIMB_gene_212
213,NCIMB_gene_213
214,NCIMB_gene_214
215,NCIMB_gene_215
216,NCIMB_gene_216
217,NCIMB_gene_217
218,NCIMB_gene_218
219,NCIMB_gene_219
220,NCIMB_gene_220
221,NCIMB_gene_221
222,NCIMB_gene_222
223,NCIMB_gene_223
224,NCIMB_gene_224
225,NCIMB_gene_225
226,NCIMB_gene_226
227,NCIMB_gene_227
228,NCIMB_gene_228
229,NCIMB_gene_229
230,NCIMB_gene_230
231,NCIMB_gene_231
232,NCIMB_gene_232
233,NCIMB_gene_233
234,NCIMB_gene_234
235,NCIMB_gene_235
236,NCIMB_gene_236
237,NCIMB_gene_237
238,NCIMB_gene_238
239,NCIMB_gene_239
240,NCIMB_gene_240
241,NCIMB_gene_241
242,NCIMB_gene_242
243,NCIMB_gene_243
244,NCIMB_gene_244
245,NCIMB_gene_245
246,NCIMB_gene_246
247,NCIMB_gene_247
248,NCIMB_gene_248
249,NCIMB_gene_249
250,NCIMB_gene_250
251,NCIMB_gene_251
252,NCIMB_gene_252
253,NCIMB_gene_253
254,NCIMB_gene_254
255,NCIMB_gene_255
256,NCIMB_gene_256
257,NCIMB_gene_257
258,NCIMB_gene_258
259,NCIMB_gene_259
260,NCIMB_gene_260
261,NCIMB_gene_261
262,NCIMB_gene_262
263,NCIMB_gene_263
264,NCIMB_gene_264
265,NCIMB_gene_265
266,NCIMB_gene_266
267,NCIMB_gene_267
268,NCIMB_gene_268
269,NCIMB_gene_269
270,NCIMB_gene_270
271,NCIMB_gene_271
272,NCIMB_gene_272
273,NCIMB_gene_273
274,NCIMB_gene_274
275,NCIMB_gene_275
276,NCIMB_gene_276
277,NCIMB_gene_277
278,NCIMB_gene_278
279,NCIMB_gene_279
280,NCIMB_gene_280
281,NCIMB_gene_281
282,NCIMB_gene_282
283,NCIMB_gene_283
284,NCIMB_gene_284
285,NCIMB_gene_285
286,NCIMB_gene_286
287,NCIMB_gene_287
288,NCIMB_gene_288
289,NCIMB_gene_289
290,NCIMB_gene_290
291,NCIMB_gene_291
292,NCIMB_gene_292
293,NCIMB_gene_293
294,NCIMB_gene_294
295,NCIMB_gene_295
296,NCIMB_gene_296
297,NCIMB_gene_297
298,NCIMB_gene_298
299,NCIMB_gene_299
300,NCIMB_gene_300
301,NCIMB_gene_301
302,NCIMB_gene_302
303,NCIMB_gene_303
304,NCIMB_gene_304
305,NCIMB_gene_305
306,NCIMB_gene_306
307,NCIMB_gene_307
308,NCIMB_gene_308
309,NCIMB_gene_309
310,NCIMB_gene_310
311,NCIMB_gene_311
312,NCIMB_gene_312
313,NCIMB_gene_313
314,NCIMB_gene_314
315,NCIMB_gene_315
316,NCIMB_gene_316
317,NCIMB_gene_317
318,NCIMB_gene_318
319,NCIMB_gene_319
320,NCIMB_gene_320
321,NCIMB_gene_321
322,NCIMB_gene_322
323,NCIMB_gene_323
324,NCIMB_gene_324
325,NCIMB_gene_325
326,NCIMB_gene_326
327,NCIMB_gene_327
328,NCIMB_gene_328
329,NCIMB_gene_329
330,NCIMB_gene_330
331,NCIMB_gene_331
332,NCIMB_gene_332
333,NCIMB_gene_333
334,NCIMB_gene_334
335,NCIMB_gene_335
336,NCIMB_gene_336
337,NCIMB_gene_337
338,NCIMB_gene_338
339,NCIMB_gene_339
340,NCIMB_gene_340
341,NCIMB_gene_341
342,NCIMB_gene_342
343,NCIMB_gene_343
344,NCIMB_gene_344
345,NCIMB_gene_345
346,NCIMB_gene_346
347,NCIMB_gene_347
348,NCIMB_gene_348
349,NCIMB_gene_349
350,NCIMB_gene_350
351,NCIMB_gene_351
352,NCIMB_gene_352
353,NCIMB_gene_353
354,NCIMB_gene_354
355,NCIMB_gene_355
356,NCIMB_gene_356
357,NCIMB_gene_357
358,NCIMB_gene_358
359,NCIMB_gene_359
360,NCIMB_gene_360
361,NCIMB_gene_361
362,NCIMB_gene_362
363,NCIMB_gene_363
364,NCIMB_gene_364
365,NCIMB_gene_365
366,NCIMB_gene_366
367,NCIMB_gene_367
368,NCIMB_gene_368
369,NCIMB_gene_369
370,NCIMB_gene_370
371,NCIMB_gene_371
372,NCIMB_gene_372
373,NCIMB_gene_373
374,NCIMB_gene_374
375,NCIMB_gene_375
376,NCIMB_gene_376
377,NCIMB_gene_377
378,NCIMB_gene_378
379,NCIMB_gene_379
380,NCIMB_gene_380
381,NCIMB_gene_381
382,NCIMB_gene_382
383,NCIMB_gene_383
384,NCIMB_gene_384
385,NCIMB_gene_385
386,NCIMB_gene_386
387,NCIMB_gene_387
388,NCIMB_gene_388
389,NCIMB_gene_389
390,NCIMB_gene_390
391,NCIMB_gene_391
392,NCIMB_gene_392
393,NCIMB_gene_393
394,NCIMB_gene_394
395,NCIMB_gene_395
396,NCIMB_gene_396
397,NCIMB_gene_397
398,NCIMB_gene_398
399,NCIMB_gene_399
400,NCIMB_gene_400
401,NCIMB_gene_401
402,NCIMB_gene_402
403,NCIMB_gene_403
404,NCIMB_gene_404
405,NCIMB_gene_405
406,NCIMB_gene_406
407,NCIMB_gene_407
408,NCIMB_gene_408
409,NCIMB_gene_409
410,NCIMB_gene_410
411,NCIMB_gene_411
412,NCIMB_gene_412
413,NCIMB_gene_413
414,NCIMB_gene_414
415,NCIMB_gene_415
416,NCIMB_gene_416
417,NCIMB_gene_417
418,NCIMB_gene_418
419,NCIMB_gene_419
420,NCIMB_gene_420
421,NCIMB_gene_421
422,NCIMB_gene_422
423,NCIMB_gene_423
424,NCIMB_gene_424
425,NCIMB_gene_425
426,NCIMB_gene_426
427,NCIMB_gene_427
428,NCIMB_gene_428
429,NCIMB_gene_429
430,NCIMB_gene_430
431,NCIMB_gene_431
432,NCIMB_gene_432
433,NCIMB_gene_433
434,NCIMB_gene_434
435,NCIMB_gene_435
436,NCIMB_gene_436
437,NCIMB_gene_437
438,NCIMB_gene_438
439,NCIMB_gene_439
440,NCIMB_gene_440
441,NCIMB_gene_441
442,NCIMB_gene_442
443,NCIMB_gene_443
444,NCIMB_gene_444
445,NCIMB_gene_445
446,NCIMB_gene_446
447,NCIMB_gene_447
448,NCIMB_gene_448
449,NCIMB_gene_449
450,NCIMB_gene_450
451,NCIMB_gene_451
452,NCIMB_gene_452
453,NCIMB_gene_453
454,NCIMB_gene_454
455,NCIMB_gene_455
456,NCIMB_gene_456
457,NCIMB_gene_457
458,NCIMB_gene_458
459,NCIMB_gene_459
460,NCIMB_gene_460
461,NCIMB_gene_461
462,NCIMB_gene_462
463,NCIMB_gene_463
464,NCIMB_gene_464
465,NCIMB_gene_465
466,NCIMB_gene_466
467,NCIMB_gene_467
468,NCIMB_gene_468
469,NCIMB_gene_469
470,NCIMB_gene_470
471,NCIMB_gene_471
472,NCIMB_gene_472
473,NCIMB_gene_473
474,NCIMB_gene_474
475,NCIMB_gene_475
476,NCIMB_gene_476
477,NCIMB_gene_477
478,NCIMB_gene_478
479,NCIMB_gene_479
480,NCIMB_gene_480
481,NCIMB_gene_481
482,NCIMB_gene_482
483,NCIMB_gene_483
484,NCIMB_gene_484
485,NCIMB_gene_485
486,NCIMB_gene_486
487,NCIMB_gene_487
488,NCIMB_gene_488
489,NCIMB_gene_489
490,NCIMB_gene_490
491,NCIMB_gene_491
492,NCIMB_gene_492
493,NCIMB_gene_493
494,NCIMB_gene_494
495,NCIMB_gene_495
496,NCIMB_gene_496
497,NCIMB_gene_497
498,NCIMB_gene_498
499,NCIMB_gene_499
500,NCIMB_gene_500
501,NCIMB_gene_501
502,NCIMB_gene_502
503,NCIMB_gene_503
504,NCIMB_gene_504
505,NCIMB_gene_505
506,NCIMB_gene_506
507,NCIMB_gene_507
508,NCIMB_gene_508
509,NCIMB_gene_509
510,NCIMB_gene_510
511,NCIMB_gene_511
512,NCIMB_gene_512
513,NCIMB_gene_513
