,0
0,NCIMB_gene_2475
1,gene_10
2,gene_15
3,gene_18
4,NCIMB_gene_683
5,NCIMB_gene_686
6,gene_23
7,gene_24
8,NCIMB_gene_702
9,NCIMB_gene_1874
10,NCIMB_gene_1475
11,NCIMB_gene_1480
12,NCIMB_gene_1482
13,NCIMB_gene_1494
14,NCIMB_gene_1499
15,NCIMB_gene_1500
16,NCIMB_gene_1501
17,NCIMB_gene_1503
18,NCIMB_gene_1505
19,NCIMB_gene_1506
20,NCIMB_gene_1507
21,NCIMB_gene_1508
22,NCIMB_gene_1509
23,NCIMB_gene_1510
24,NCIMB_gene_1511
25,NCIMB_gene_1512
26,NCIMB_gene_1515
27,NCIMB_gene_1521
28,NCIMB_gene_307
29,NCIMB_gene_1028
30,NCIMB_gene_1024
31,NCIMB_gene_1023
32,NCIMB_gene_1022
33,NCIMB_gene_1021
34,NCIMB_gene_1020
35,NCIMB_gene_1019
36,NCIMB_gene_1018
37,NCIMB_gene_1017
38,NCIMB_gene_1015
39,NCIMB_gene_1012
40,NCIMB_gene_1005
41,NCIMB_gene_270
42,NCIMB_gene_263
43,NCIMB_gene_260
44,NCIMB_gene_254
45,NCIMB_gene_251
46,NCIMB_gene_250
47,NCIMB_gene_249
48,NCIMB_gene_247
49,NCIMB_gene_245
50,NCIMB_gene_242
51,NCIMB_gene_239
52,NCIMB_gene_238
53,gene_195
54,NCIMB_gene_287
55,NCIMB_gene_791
56,gene_198
57,NCIMB_gene_210
58,NCIMB_gene_2397
59,gene_202
60,NCIMB_gene_3001
61,NCIMB_gene_221
62,NCIMB_gene_1331
63,NCIMB_gene_1333
64,NCIMB_gene_2037
65,NCIMB_gene_2035
66,NCIMB_gene_2033
67,NCIMB_gene_2029
68,NCIMB_gene_2028
69,NCIMB_gene_2026
70,NCIMB_gene_2022
71,NCIMB_gene_2016
72,NCIMB_gene_2014
73,NCIMB_gene_2013
74,NCIMB_gene_2010
75,NCIMB_gene_2009
76,NCIMB_gene_2005
77,NCIMB_gene_1471
78,NCIMB_gene_1472
79,NCIMB_gene_2908
80,NCIMB_gene_2805
81,NCIMB_gene_2803
82,NCIMB_gene_2802
83,NCIMB_gene_416
84,NCIMB_gene_420
85,NCIMB_gene_421
86,NCIMB_gene_423
87,NCIMB_gene_426
88,NCIMB_gene_3723
89,NCIMB_gene_3722
90,NCIMB_gene_3721
91,NCIMB_gene_3719
92,NCIMB_gene_3718
93,NCIMB_gene_3715
94,NCIMB_gene_3714
95,NCIMB_gene_3710
96,NCIMB_gene_1836
97,NCIMB_gene_1835
98,NCIMB_gene_1834
99,NCIMB_gene_1831
100,NCIMB_gene_1829
101,NCIMB_gene_1828
102,gene_334
103,NCIMB_gene_173
104,NCIMB_gene_172
105,NCIMB_gene_171
106,NCIMB_gene_170
107,NCIMB_gene_169
108,NCIMB_gene_168
109,NCIMB_gene_167
110,NCIMB_gene_165
111,NCIMB_gene_164
112,NCIMB_gene_159
113,NCIMB_gene_155
114,NCIMB_gene_154
115,NCIMB_gene_153
116,NCIMB_gene_152
117,NCIMB_gene_151
118,NCIMB_gene_149
119,NCIMB_gene_148
120,NCIMB_gene_2691
121,NCIMB_gene_2685
122,NCIMB_gene_2679
123,NCIMB_gene_2678
124,NCIMB_gene_2673
125,NCIMB_gene_2671
126,NCIMB_gene_2668
127,NCIMB_gene_2667
128,NCIMB_gene_2666
129,NCIMB_gene_2664
130,NCIMB_gene_2663
131,NCIMB_gene_2658
132,NCIMB_gene_2652
133,NCIMB_gene_2651
134,NCIMB_gene_2647
135,NCIMB_gene_1527
136,NCIMB_gene_1528
137,NCIMB_gene_1529
138,NCIMB_gene_1530
139,NCIMB_gene_1537
140,NCIMB_gene_1539
141,NCIMB_gene_1542
142,NCIMB_gene_1544
143,NCIMB_gene_1545
144,NCIMB_gene_1546
145,NCIMB_gene_1548
