,rct_id,rct_name
0,FOCYTCCOR,R00082
1,ATPPT,R00124
2,SERD_L,R00220
3,AADCOAT,R00236
4,OAACOLY,R00268
5,UDPGD,R00286
6,ATPACAT,R00316
7,DATPT,R00375
8,DGTPT,R00376
9,DCTPT,R00377
10,DTTPT,R00378
11,GTPHYDRO,R00428
12,ATPNAT,R00435
13,PRPAT,R00437
14,PRPUT,R00438
15,PRPGT,R00439
16,PRPCT,R00440
17,GTPT,R00441
18,CTPT,R00442
19,UTPT,R00443
20,TDP,R00615
21,TMDPPK,R00616
22,AKGDEHY,R00621
23,UAGCVT,R00660
24,SSALx,R00713
25,SSALy,R00714
26,FICYTCCNOR,R00784
27,GHMT,R00945
28,TAL,R00996
29,SHSL4h,R00999
30,FBAf,R01070
31,SHSL2,R01288
32,UGE,R01385
33,VALDHr,R01434
34,THRS,R01466
35,OMCDC,R01652
36,ARABINANHY,R01762
37,STARCHHY,R01791
38,CDPDAGPT,R01800
39,AMYLOSEGT,R01821
40,TALA,R01827
41,TKT2,R01830
42,SBP,R01845
43,F1PPT,R02071
44,STARCHHY2,R02108
45,AMYTRANS,R02110
46,STARCHGT,R02111
47,QH2OR,R02163
48,QH2NOR,R02165
49,PYRPT,R02320
50,ADPGLCGT,R02421
51,SCENLAT,R02570
52,MANPT,R02630
53,GAMPT,R02631
54,ENCOAT,R02662
55,BCFASYN,R02663
56,MNLPT,R02704
57,GLCDPT,R02738
58,HMSD,R02762
59,TREPT,R02780
60,UAMAGS,R02783
61,MBTCOAT,R03174
62,BCFASYN2,R03175
63,UAMAS,R03193
64,UPP3MT,R03194
65,UPPDC1,R03197
66,TMPPP,R03223
67,FRU1PT,R03232
68,SHSL1,R03260
69,UACMAMO,R03317
70,GCCa,R03425
71,AMETLY,R03472
72,SELCYSLY,R03599
73,SUCBZL,R04030
74,IVCOAR,R04097
75,BCFASYN3,R04098
76,MALTPT,R04111
77,GLUTRR,R04109
78,GCCb,R04125
79,ECOAH9ir,R04204
80,THPPGLIG,R04241
81,SALCNPT,R04394
82,MTRI,R04420
83,MDRPD,R07392
84,23DK5MPPISO,R07393
85,ACDO,R07364
