RHEA_ID	DIRECTION	MASTER_ID	ID
10000	UN	10000	3.5.1.50
10004	UN	10004	5.99.1.1
10008	UN	10008	1.11.1.15
10012	UN	10012	1.5.3.6
10016	UN	10016	3.1.1.49
10020	UN	10020	1.5.1.10
10024	UN	10024	2.1.1.43
10028	UN	10028	1.4.3.7
10028	UN	10028	1.4.3.15
10032	UN	10032	3.5.1.43
10036	UN	10036	1.1.3.38
10040	UN	10040	3.1.3.7
10044	UN	10044	1.1.1.245
10048	UN	10048	2.5.1.49
10052	UN	10052	1.1.1.345
10056	UN	10056	4.3.1.14
10060	UN	10060	2.3.1.34
10064	UN	10064	2.1.2.7
10068	UN	10068	2.4.1.53
10072	UN	10072	2.1.1.161
10076	UN	10076	3.2.1.108
10080	UN	10080	1.3.1.57
10084	UN	10084	1.13.11.3
10088	UN	10088	2.4.1.167
10092	UN	10092	3.1.3.34
10096	UN	10096	2.3.1.184
10100	UN	10100	3.1.1.13
10104	UN	10104	1.14.11.15
10108	UN	10108	1.1.1.248
10112	UN	10112	4.2.1.22
10116	UN	10116	1.1.1.44
10116	UN	10116	1.1.1.351
10120	UN	10120	3.5.4.37
10124	UN	10124	1.14.13.92
10128	UN	10128	5.3.99.9
10132	UN	10132	6.2.1.25
10136	UN	10136	4.1.1.47
10140	UN	10140	1.1.1.188
10144	UN	10144	3.1.3.6
10148	UN	10148	3.5.4.23
10152	UN	10152	2.7.2.2
10156	UN	10156	1.14.14.101
10160	UN	10160	1.1.1.14
10164	UN	10164	4.2.1.11
10168	UN	10168	1.3.7.2
10172	UN	10172	3.1.1.22
10176	UN	10176	1.1.1.397
10180	UN	10180	1.5.1.6
10184	UN	10184	3.1.1.24
10188	UN	10188	2.3.3.10
10192	UN	10192	7.3.2.3
10196	UN	10196	4.2.1.113
10200	UN	10200	1.3.1.31
10204	UN	10204	1.5.8.1
10208	UN	10208	2.3.2.8
10212	UN	10212	2.6.1.48
10216	UN	10216	2.7.11.23
10220	UN	10220	6.1.1.1
10224	UN	10224	2.7.1.35
10232	UN	10232	2.4.2.20
10236	UN	10236	2.4.1.114
10240	UN	10240	1.3.1.9
10244	UN	10244	3.7.1.2
10248	UN	10248	3.6.1.9
10248	UN	10248	3.6.1.23
10252	UN	10252	2.5.1.65
10256	UN	10256	2.7.9.5
10260	UN	10260	7.2.2.14
10264	UN	10264	5.1.3.3
10268	UN	10268	4.1.2.20
10272	UN	10272	2.7.1.107
10276	UN	10276	2.7.4.24
10280	UN	10280	2.1.1.160
10284	UN	10284	5.4.3.7
10288	UN	10288	3.1.1.65
10292	UN	10292	2.3.1.4
10296	UN	10296	1.2.1.13
10296	UN	10296	1.2.1.59
10300	UN	10300	1.2.1.12
10300	UN	10300	1.2.1.59
10304	UN	10304	2.3.1.40
10312	UN	10312	1.14.12.15
10316	UN	10316	1.14.11.6
10320	UN	10320	4.2.1.77
10324	UN	10324	1.1.1.185
10328	UN	10328	1.1.1.185
10332	UN	10332	2.3.1.62
10336	UN	10336	4.2.1.3
10340	UN	10340	4.2.3.21
10344	UN	10344	2.3.1.25
10348	UN	10348	3.5.2.9
10352	UN	10352	3.5.1.76
10356	UN	10356	1.1.1.152
10360	UN	10360	3.1.1.35
10364	UN	10364	2.3.3.4
10368	UN	10368	2.6.1.59
10372	UN	10372	1.2.1.58
10376	UN	10376	7.2.2.9
10380	UN	10380	2.4.2.10
10388	UN	10388	4.1.1.32
10392	UN	10392	1.1.1.195
10396	UN	10396	1.4.1.5
10400	UN	10400	2.6.1.15
10408	UN	10408	2.3.1.176
10412	UN	10412	3.6.1.53
10412	UN	10412	3.6.1.13
10416	UN	10416	4.1.99.11
10420	UN	10420	2.6.1.77
10424	UN	10424	3.5.1.32
10428	UN	10428	1.13.11.31
10432	UN	10432	3.5.1.29
10436	UN	10436	4.2.1.106
10440	UN	10440	3.1.1.17
10444	UN	10444	2.1.1.291
10448	UN	10448	1.14.20.5
10456	UN	10456	2.3.1.79
10460	UN	10460	5.3.3.9
10464	UN	10464	3.5.1.41
10468	UN	10468	4.1.2.9
10472	UN	10472	4.1.3.32
10480	UN	10480	2.6.1.23
10484	UN	10484	3.5.1.71
10488	UN	10488	6.3.3.2
10492	UN	10492	3.1.3.75
10500	UN	10500	2.3.3.7
10508	UN	10508	2.2.1.1
10516	UN	10516	1.1.1.166
10520	UN	10520	2.4.1.241
10524	UN	10524	4.1.1.71
10528	UN	10528	1.14.14.100
10532	UN	10532	4.2.1.20
10536	UN	10536	3.1.6.10
10540	UN	10540	4.1.2.25
10548	UN	10548	1.13.12.1
10552	UN	10552	1.1.3.10
10556	UN	10556	2.5.1.66
10560	UN	10560	3.5.4.22
10564	UN	10564	3.1.1.44
10568	UN	10568	2.4.1.189
10572	UN	10572	5.3.3.3
10576	UN	10576	2.7.7.57
10580	UN	10580	6.3.2.17
10584	UN	10584	2.3.1.170
10588	UN	10588	2.3.1.111
10596	UN	10596	2.7.12.2
10596	UN	10596	2.7.12.1
10596	UN	10596	2.7.10.1
10596	UN	10596	2.7.10.2
10600	UN	10600	5.3.99.2
10604	UN	10604	3.1.4.3
10608	UN	10608	1.14.14.91
10612	UN	10612	2.4.2.38
10616	UN	10616	1.17.1.3
10620	UN	10620	1.2.1.44
10628	UN	10628	2.7.7.56
10632	UN	10632	1.1.1.131
10636	UN	10636	1.1.1.131
10644	UN	10644	3.1.1.57
10652	UN	10652	1.2.1.48
10656	UN	10656	2.1.1.2
10660	UN	10660	5.1.1.16
10664	UN	10664	1.1.1.144
10668	UN	10668	2.3.2.3
10672	UN	10672	4.1.99.3
10680	UN	10680	5.1.1.4
10684	UN	10684	3.1.3.48
10688	UN	10688	3.1.3.39
10692	UN	10692	1.3.3.11
10696	UN	10696	6.2.1.49
10700	UN	10700	3.3.2.8
10704	UN	10704	6.1.1.9
10708	UN	10708	2.7.7.34
10712	UN	10712	1.13.12.9
10716	UN	10716	5.5.1.4
10720	UN	10720	1.5.4.1
10724	UN	10724	1.1.1.135
10724	UN	10724	1.1.1.187
10728	UN	10728	1.1.1.135
10728	UN	10728	1.1.1.187
10732	UN	10732	1.13.12.7
10736	UN	10736	1.1.1.1
10736	UN	10736	1.1.1.71
10740	UN	10740	1.1.1.1
10744	UN	10744	1.3.1.53
10748	UN	10748	4.2.1.1
10752	UN	10752	6.3.1.12
10756	UN	10756	2.7.9.1
10760	UN	10760	4.1.3.6
10764	UN	10764	1.14.20.4
10768	UN	10768	1.14.20.4
10772	UN	10772	3.2.1.86
10776	UN	10776	1.1.1.222
10776	UN	10776	1.1.1.237
10780	UN	10780	1.1.1.110
10780	UN	10780	1.1.1.222
10780	UN	10780	1.1.1.237
10788	UN	10788	2.7.1.13
10792	UN	10792	4.1.1.21
10796	UN	10796	1.14.13.32
10800	UN	10800	2.4.2.22
10804	UN	10804	5.1.99.3
10808	UN	10808	1.11.1.23
10812	UN	10812	1.2.1.71
10816	UN	10816	3.2.1.63
10820	UN	10820	5.1.2.6
10824	UN	10824	1.1.1.82
10824	UN	10824	1.1.1.299
10828	UN	10828	6.2.1.32
10832	UN	10832	3.1.4.50
10836	UN	10836	1.14.13.43
10840	UN	10840	4.2.3.1
10844	UN	10844	2.6.1.31
10848	UN	10848	7.4.2.7
10852	UN	10852	2.5.1.71
10856	UN	10856	2.4.1.47
10860	UN	10860	1.14.13.242
10864	UN	10864	1.14.13.242
10868	UN	10868	2.3.1.20
10872	UN	10872	3.5.1.15
10876	UN	10876	4.1.1.61
10880	UN	10880	3.2.2.25
10884	UN	10884	4.1.2.33
10896	UN	10896	3.1.1.36
10900	UN	10900	2.6.1.60
10904	UN	10904	1.3.99.36
10908	UN	10908	2.8.2.14
10912	UN	10912	6.3.2.1
10924	UN	10924	5.2.1.10
10932	UN	10932	6.3.4.5
10936	UN	10936	1.8.5.2
10940	UN	10940	4.2.3.20
10944	UN	10944	3.1.3.96
10948	UN	10948	2.7.1.8
10948	UN	10948	2.7.1.1
10952	UN	10952	2.3.1.106
10956	UN	10956	1.14.13.14
10960	UN	10960	5.1.2.1
10964	UN	10964	2.7.1.17
10968	UN	10968	6.2.1.10
10972	UN	10972	2.7.1.62
10976	UN	10976	1.14.12.16
10980	UN	10980	5.1.1.18
10984	UN	10984	1.1.99.7
10992	UN	10992	1.1.1.79
10996	UN	10996	2.1.1.91
11000	UN	11000	3.5.1.77
11004	UN	11004	1.14.13.1
11008	UN	11008	3.1.3.33
11012	UN	11012	3.5.1.57
11016	UN	11016	3.5.3.4
11020	UN	11020	2.7.1.127
11024	UN	11024	2.7.3.8
11028	UN	11028	2.7.1.1
11028	UN	11028	2.7.1.7
11032	UN	11032	5.5.1.7
11036	UN	11036	7.6.2.9
11040	UN	11040	4.2.1.19
11044	UN	11044	3.8.1.3
11048	UN	11048	2.3.1.149
11052	UN	11052	1.14.13.27
11056	UN	11056	1.14.13.27
11060	UN	11060	6.1.1.5
11064	UN	11064	3.1.3.11
11068	UN	11068	3.2.1.107
11072	UN	11072	1.14.12.1
11076	UN	11076	1.14.12.1
11080	UN	11080	3.1.3.35
11084	UN	11084	4.1.1.34
11088	UN	11088	3.6.1.2
11092	UN	11092	1.1.1.8
11092	UN	11092	1.1.1.94
11096	UN	11096	1.1.1.94
11100	UN	11100	4.1.2.35
11108	UN	11108	2.8.2.17
11112	UN	11112	3.3.2.1
11116	UN	11116	2.3.1.57
11120	UN	11120	4.2.1.104
11128	UN	11128	2.3.1.74
11132	UN	11132	1.3.1.33
11136	UN	11136	2.4.99.3
11140	UN	11140	5.4.2.8
11144	UN	11144	5.1.3.18
11148	UN	11148	1.16.3.1
11152	UN	11152	1.14.13.241
11156	UN	11156	1.4.1.8
11160	UN	11160	2.6.1.76
11164	UN	11164	2.1.1.17
11168	UN	11168	1.1.1.259
11172	UN	11172	2.1.1.13
11176	UN	11176	2.4.1.230
11180	UN	11180	6.1.1.22
11184	UN	11184	3.5.1.6
11188	UN	11188	3.5.5.4
11192	UN	11192	3.8.1.2
11192	UN	11192	3.8.1.10
11196	UN	11196	2.4.2.21
11204	UN	11204	6.3.4.10
11212	UN	11212	1.13.11.17
11216	UN	11216	2.7.4.13
11220	UN	11220	2.1.1.56
11224	UN	11224	6.3.2.4
11228	UN	11228	1.1.1.234
11232	UN	11232	3.6.2.2
11236	UN	11236	2.5.1.44
11236	UN	11236	2.5.1.45
11240	UN	11240	2.7.4.15
11248	UN	11248	3.1.1.75
11252	UN	11252	2.3.2.7
11256	UN	11256	2.4.1.210
11260	UN	11260	1.6.3.1
11264	UN	11264	1.6.3.1
11264	UN	11264	1.6.3.3
11268	UN	11268	4.4.1.15
11272	UN	11272	1.1.5.10
11276	UN	11276	1.10.3.2
11280	UN	11280	2.1.2.8
11284	UN	11284	1.1.1.167
11288	UN	11288	1.5.3.12
11292	UN	11292	1.10.3.6
11296	UN	11296	1.2.1.26
11300	UN	11300	1.1.1.143
11304	UN	11304	4.3.2.3
11308	UN	11308	6.4.1.2
11312	UN	11312	3.8.1.8
11316	UN	11316	4.99.1.5
11320	UN	11320	5.1.3.5
11328	UN	11328	2.5.1.28
11332	UN	11332	2.7.7.19
11336	UN	11336	2.1.1.99
11340	UN	11340	4.1.1.75
11344	UN	11344	2.7.7.43
11348	UN	11348	7.3.2.7
11352	UN	11352	2.7.2.1
11356	UN	11356	1.6.99.3
11364	UN	11364	2.7.9.2
11372	UN	11372	6.3.1.1
11376	UN	11376	1.3.1.36
11384	UN	11384	1.1.1.99
11388	UN	11388	1.1.1.146
11392	UN	11392	3.1.3.56
11396	UN	11396	2.7.4.19
11400	UN	11400	2.4.1.353
11404	UN	11404	5.1.3.6
11408	UN	11408	3.5.99.1
11412	UN	11412	2.7.6.3
11416	UN	11416	2.3.1.90
11420	UN	11420	1.14.13.101
11424	UN	11424	2.7.11.7
11428	UN	11428	1.1.3.4
11428	UN	11428	1.1.3.5
11432	UN	11432	2.1.1.153
11436	UN	11436	1.9.3.1
11440	UN	11440	1.14.13.50
11444	UN	11444	3.1.6.9
11448	UN	11448	1.1.1.150
11452	UN	11452	1.14.14.85
11456	UN	11456	2.4.1.101
11460	UN	11460	2.7.1.147
11464	UN	11464	1.8.4.1
11468	UN	11468	2.6.1.32
11472	UN	11472	1.5.3.2
11476	UN	11476	3.1.3.21
11480	UN	11480	1.14.13.23
11484	UN	11484	7.1.1.8
11488	UN	11488	2.3.1.76
11492	UN	11492	4.1.1.81
11496	UN	11496	2.5.1.53
11500	UN	11500	3.1.3.45
11504	UN	11504	2.1.1.109
11508	UN	11508	1.14.11.16
11512	UN	11512	2.4.1.172
11516	UN	11516	3.1.2.3
11520	UN	11520	2.4.1.127
11524	UN	11524	1.3.1.3
11528	UN	11528	2.5.1.17
11532	UN	11532	1.4.3.19
11536	UN	11536	1.1.3.17
11540	UN	11540	1.1.1.233
11544	UN	11544	3.5.1.26
11548	UN	11548	3.1.1.54
11552	UN	11552	3.1.1.71
11556	UN	11556	1.1.1.254
11560	UN	11560	1.3.1.25
11564	UN	11564	2.4.1.321
11568	UN	11568	2.1.1.54
11576	UN	11576	2.7.6.2
11580	UN	11580	2.7.8.11
11584	UN	11584	5.1.1.12
11588	UN	11588	1.3.99.16
11592	UN	11592	3.1.2.31
11596	UN	11596	4.1.1.23
11600	UN	11600	2.7.4.14
11600	UN	11600	2.7.4.25
11604	UN	11604	2.3.1.136
11608	UN	11608	2.3.1.136
11612	UN	11612	1.4.1.3
11612	UN	11612	1.4.1.4
11620	UN	11620	4.5.1.4
11624	UN	11624	2.6.3.1
11628	UN	11628	4.1.1.1
11632	UN	11632	4.4.1.16
11636	UN	11636	1.1.1.197
11640	UN	11640	1.3.1.77
11644	UN	11644	1.3.1.77
11648	UN	11648	1.14.13.46
11652	UN	11652	2.7.8.6
11656	UN	11656	6.2.1.53
11660	UN	11660	3.5.1.89
11664	UN	11664	2.4.99.5
11668	UN	11668	2.7.9.4
11672	UN	11672	2.6.1.85
11676	UN	11676	1.1.1.115
11680	UN	11680	6.3.5.2
11684	UN	11684	2.1.1.137
11688	UN	11688	6.1.1.4
11692	UN	11692	1.6.1.1
11692	UN	11692	1.6.1.2
11692	UN	11692	1.6.1.3
11696	UN	11696	2.1.1.139
11700	UN	11700	1.14.13.54
11708	UN	11708	1.1.1.205
11712	UN	11712	1.2.7.7
11716	UN	11716	3.5.1.3
11720	UN	11720	3.5.2.14
11724	UN	11724	1.8.4.8
11728	UN	11728	1.1.1.163
11732	UN	11732	1.14.14.142
11736	UN	11736	1.1.1.241
11740	UN	11740	1.8.1.7
11744	UN	11744	3.6.1.28
11748	UN	11748	2.2.1.8
11752	UN	11752	3.1.1.55
11756	UN	11756	6.3.4.15
11764	UN	11764	3.5.3.16
11768	UN	11768	2.4.2.18
11772	UN	11772	1.1.1.220
11776	UN	11776	1.14.19.2
11780	UN	11780	2.4.1.134
11784	UN	11784	1.4.1.21
11788	UN	11788	1.4.1.21
11792	UN	11792	1.14.13.69
11796	UN	11796	1.1.3.16
11800	UN	11800	3.6.1.22
11804	UN	11804	1.2.1.29
11808	UN	11808	2.1.1.69
11812	UN	11812	1.8.3.4
11816	UN	11816	5.3.1.9
11820	UN	11820	2.4.2.36
11824	UN	11824	2.1.2.11
11828	UN	11828	3.1.4.58
11832	UN	11832	1.3.1.29
11836	UN	11836	2.4.99.1
11840	UN	11840	1.2.1.28
11844	UN	11844	2.3.1.54
11848	UN	11848	1.21.4.4
11852	UN	11852	2.4.2.28
11860	UN	11860	2.7.13.2
11864	UN	11864	1.5.8.2
11868	UN	11868	1.1.1.287
11872	UN	11872	1.14.15.5
11876	UN	11876	1.1.1.141
11880	UN	11880	1.5.3.5
11884	UN	11884	2.8.2.18
11888	UN	11888	1.2.1.4
11888	UN	11888	1.2.1.5
11892	UN	11892	2.1.1.121
11896	UN	11896	1.1.1.181
11900	UN	11900	1.1.1.87
11900	UN	11900	1.1.1.286
11904	UN	11904	3.5.4.11
11908	UN	11908	3.7.1.7
11912	UN	11912	1.3.1.48
11916	UN	11916	1.3.1.48
11920	UN	11920	4.2.1.96
11924	UN	11924	2.4.1.228
11936	UN	11936	2.3.1.95
11940	UN	11940	3.5.1.20
11948	UN	11948	3.1.2.23
11952	UN	11952	5.3.1.22
11956	UN	11956	3.2.1.104
11960	UN	11960	2.6.1.17
11964	UN	11964	3.3.2.11
11968	UN	11968	1.14.99.2
11972	UN	11972	1.16.3.2
11976	UN	11976	1.14.13.38
11980	UN	11980	1.8.1.13
11984	UN	11984	1.14.99.4
11988	UN	11988	2.1.1.79
11992	UN	11992	1.5.3.7
11996	UN	11996	1.14.13.44
12000	UN	12000	1.17.1.10
12004	UN	12004	2.4.1.220
12008	UN	12008	2.7.11.16
12012	UN	12012	2.7.1.89
12016	UN	12016	4.2.3.75
12020	UN	12020	3.5.1.4
12024	UN	12024	2.3.1.91
12028	UN	12028	3.5.2.4
12032	UN	12032	3.1.1.77
12036	UN	12036	1.1.1.111
12040	UN	12040	1.1.1.111
12044	UN	12044	3.1.1.79
12044	UN	12044	3.1.1.3
12044	UN	12044	3.1.1.34
12048	UN	12048	2.8.3.6
12052	UN	12052	4.2.3.6
12056	UN	12056	1.2.1.72
12064	UN	12064	1.2.1.20
12068	UN	12068	2.7.8.7
12072	UN	12072	3.8.1.11
12076	UN	12076	1.1.1.90
12080	UN	12080	2.3.1.180
12084	UN	12084	1.1.1.67
12088	UN	12088	2.4.1.80
12092	UN	12092	5.1.2.4
12096	UN	12096	3.5.1.91
12100	UN	12100	4.2.1.110
12104	UN	12104	2.1.1.45
12112	UN	12112	2.1.1.47
12116	UN	12116	1.12.99.6
12120	UN	12120	2.7.7.27
12124	UN	12124	2.3.1.133
12128	UN	12128	1.4.7.1
12132	UN	12132	7.2.2.2
12132	UN	12132	3.6.3.3
12136	UN	12136	1.3.1.34
12140	UN	12140	2.7.1.145
12144	UN	12144	2.4.1.116
12156	UN	12156	1.1.1.398
12160	UN	12160	1.1.1.125
12164	UN	12164	2.8.2.1
12168	UN	12168	1.1.1.54
12172	UN	12172	3.5.99.6
12176	UN	12176	2.1.1.28
12180	UN	12180	2.1.1.111
12184	UN	12184	1.1.1.76
12188	UN	12188	1.2.4.2
12192	UN	12192	4.2.3.166
12196	UN	12196	4.1.2.22
12200	UN	12200	1.14.11.24
12208	UN	12208	3.1.1.56
12212	UN	12212	1.1.1.256
12216	UN	12216	1.1.1.256
12220	UN	12220	1.4.1.9
12228	UN	12228	6.3.5.4
12232	UN	12232	1.21.4.2
12236	UN	12236	1.17.1.5
12240	UN	12240	2.3.1.165
12248	UN	12248	1.3.1.98
12252	UN	12252	3.2.1.126
12256	UN	12256	1.3.1.79
12256	UN	12256	1.3.1.43
12260	UN	12260	2.7.1.86
12268	UN	12268	2.6.1.82
12272	UN	12272	4.1.1.28
12276	UN	12276	1.3.8.4
12280	UN	12280	2.7.1.149
12284	UN	12284	2.8.3.13
12288	UN	12288	3.2.1.51
12292	UN	12292	6.1.1.11
12296	UN	12296	4.3.3.4
12300	UN	12300	2.5.1.25
12304	UN	12304	1.2.1.31
12308	UN	12308	1.2.1.31
12312	UN	12312	1.14.14.22
12316	UN	12316	3.1.3.64
12320	UN	12320	1.3.1.73
12324	UN	12324	3.2.2.11
12328	UN	12328	2.4.1.334
12332	UN	12332	7.2.2.7
12336	UN	12336	4.2.99.12
12340	UN	12340	2.3.2.6
12344	UN	12344	1.2.1.70
12348	UN	12348	5.3.3.4
12356	UN	12356	5.3.1.8
12360	UN	12360	2.3.1.93
12364	UN	12364	1.10.5.1
12368	UN	12368	1.1.99.4
12372	UN	12372	3.1.1.45
12376	UN	12376	2.7.1.51
12380	UN	12380	2.6.1.46
12384	UN	12384	1.3.3.7
12388	UN	12388	1.14.14.89
12388	UN	12388	1.14.14.90
12396	UN	12396	1.1.1.186
12400	UN	12400	3.5.1.42
12404	UN	12404	2.4.1.22
12408	UN	12408	1.4.1.18
12412	UN	12412	3.1.3.38
12416	UN	12416	4.3.1.6
12420	UN	12420	2.7.1.144
12424	UN	12424	4.3.1.16
12428	UN	12428	1.6.5.7
12432	UN	12432	2.3.2.10
12436	UN	12436	2.3.1.138
12440	UN	12440	1.5.1.7
12444	UN	12444	1.3.1.27
12448	UN	12448	3.5.1.22
12452	UN	12452	2.7.1.134
12456	UN	12456	2.7.7.40
12460	UN	12460	4.2.1.2
12464	UN	12464	2.4.1.123
12472	UN	12472	1.4.3.19
12476	UN	12476	3.5.1.68
12480	UN	12480	2.6.1.43
12484	UN	12484	3.1.3.5
12488	UN	12488	4.3.1.9
12492	UN	12492	5.1.1.2
12500	UN	12500	1.5.1.25
12504	UN	12504	1.5.1.25
12508	UN	12508	2.1.1.50
12512	UN	12512	1.4.3.1
12512	UN	12512	1.4.3.15
12516	UN	12516	4.2.3.23
12524	UN	12524	1.5.1.1
12524	UN	12524	1.5.1.21
12528	UN	12528	2.4.1.212
12532	UN	12532	2.8.4.1
12536	UN	12536	4.2.1.91
12540	UN	12540	6.1.1.7
12544	UN	12544	6.3.5.9
12548	UN	12548	1.1.1.288
12552	UN	12552	2.3.1.146
12556	UN	12556	3.1.1.31
12560	UN	12560	2.4.1.218
12568	UN	12568	1.14.13.29
12572	UN	12572	6.3.1.10
12576	UN	12576	2.4.1.66
12580	UN	12580	1.5.1.23
12584	UN	12584	4.2.1.98
12588	UN	12588	2.4.1.92
12593	UN	12593	2.7.8.5
12597	UN	12597	2.3.1.183
12601	UN	12601	2.6.1.39
12605	UN	12605	2.2.1.7
12609	UN	12609	2.1.1.67
12613	UN	12613	1.8.4.4
12617	UN	12617	2.7.1.157
12621	UN	12621	4.1.1.12
12625	UN	12625	2.3.1.92
12629	UN	12629	1.14.11.11
12633	UN	12633	1.14.12.10
12637	UN	12637	2.4.1.50
12641	UN	12641	1.1.1.95
12645	UN	12645	1.2.7.8
12649	UN	12649	1.1.1.173
12649	UN	12649	1.1.1.378
12653	UN	12653	1.1.1.38
12653	UN	12653	1.1.1.39
12657	UN	12657	5.1.99.4
12661	UN	12661	2.3.1.21
12665	UN	12665	2.3.1.81
12669	UN	12669	3.1.3.43
12673	UN	12673	4.2.1.84
12677	UN	12677	1.14.99.21
12681	UN	12681	3.5.4.21
12685	UN	12685	1.8.1.15
12689	UN	12689	1.8.1.15
12693	UN	12693	2.5.1.52
12697	UN	12697	2.7.4.12
12701	UN	12701	1.17.4.2
12705	UN	12705	2.1.1.77
12709	UN	12709	2.7.1.137
12713	UN	12713	2.7.6.4
12717	UN	12717	2.7.1.140
12721	UN	12721	2.5.1.16
12725	UN	12725	1.1.1.15
12729	UN	12729	5.3.3.22
12733	UN	12733	2.4.2.19
12737	UN	12737	1.21.4.1
12741	UN	12741	3.5.4.7
12741	UN	12741	3.5.4.17
12745	UN	12745	3.1.1.25
12749	UN	12749	4.1.1.59
12753	UN	12753	1.1.1.156
12757	UN	12757	1.3.1.69
12761	UN	12761	2.1.1.131
12765	UN	12765	1.2.7.1
12769	UN	12769	1.1.99.3
12773	UN	12773	1.14.11.21
12777	UN	12777	1.17.3.1
12785	UN	12785	1.1.1.21
12789	UN	12789	1.1.1.21
12793	UN	12793	2.7.4.21
12797	UN	12797	1.14.20.13
12801	UN	12801	2.7.11.26
12805	UN	12805	2.1.1.122
12809	UN	12809	1.1.3.14
12813	UN	12813	5.1.1.3
12817	UN	12817	1.3.1.46
12821	UN	12821	4.1.2.4
12825	UN	12825	1.21.4.3
12829	UN	12829	4.3.1.2
12833	UN	12833	3.5.1.82
12837	UN	12837	2.7.1.32
12841	UN	12841	2.6.1.30
12845	UN	12845	3.4.15.6
12849	UN	12849	3.1.3.53
12853	UN	12853	2.4.1.85
12857	UN	12857	5.4.99.1
12861	UN	12861	3.5.4.15
12865	UN	12865	3.2.2.13
12869	UN	12869	4.2.3.16
12873	UN	12873	1.1.1.272
12877	UN	12877	1.13.11.50
12881	UN	12881	2.4.1.213
12885	UN	12885	2.4.1.110
12889	UN	12889	1.1.1.45
12893	UN	12893	5.3.99.3
12897	UN	12897	1.14.14.137
12901	UN	12901	3.5.3.10
12905	UN	12905	2.7.7.22
12909	UN	12909	1.9.6.1
12917	UN	12917	3.2.1.105
12921	UN	12921	2.3.1.37
12929	UN	12929	2.3.3.14
12933	UN	12933	4.1.2.17
12937	UN	12937	2.3.1.23
12941	UN	12941	2.4.1.143
